Route_ID,Date,Region,Origin_Hub,Destination_City,Vehicle_Type,Vehicle_Capacity_Cases,Load_Cases,Utilization_Pct,Distance_KM,Avg_Speed_KMPH,Travel_Time_Hrs,No_of_Stops,Total_Time_Hrs,Fuel_Litres,Fuel_Cost_INR,Toll_Cost_INR,Driver_Cost_INR,Total_Route_Cost_INR,Cost_Per_Case_INR,Delivery_Delay_Min,On_Time_Delivery
RT-0145,2024-03-25,South India,Bengaluru Hub,Hyderabad,Mini Truck (14-ft),250,200,80.0,46,49,0.94,3,1.92,7.71,728.6,37.56,271.64,1037.8,5.19,0,Yes
RT-0146,2024-10-21,West India,Mumbai Hub,Nashik,Tata Ace,120,78,65.0,169,46,3.67,3,4.5,31.31,2958.8,316.65,828.55,4104.0,52.62,0,Yes
RT-0147,2024-06-18,Central India,Bhopal Hub,Ujjain,20-ft Truck,500,422,84.4,213,29,7.34,6,11.32,24.21,2287.85,381.08,2047.48,4716.41,11.18,0,Yes
RT-0148,2024-08-10,North India,Delhi Hub,Lucknow,Tata Ace,120,101,84.2,332,53,6.26,8,8.8,57.3,5414.85,559.44,1100.9,7075.19,70.05,16,Yes
RT-0149,2024-05-02,West India,Mumbai Hub,Vadodara,32-ft Truck,800,537,67.1,201,58,3.47,4,5.91,35.93,3395.38,419.74,1062.24,4877.36,9.08,0,Yes
RT-0150,2024-11-15,West India,Mumbai Hub,Mumbai,Tata Ace,120,63,52.5,195,44,4.43,3,5.24,32.23,3045.73,195.57,982.04,4223.34,67.04,56,No
RT-0151,2024-09-08,East India,Kolkata Hub,Guwahati,32-ft Truck,800,657,82.1,327,47,6.96,5,9.2,64.88,6131.16,321.63,1649.41,8102.2,12.33,0,Yes
RT-0152,2024-01-27,South India,Bengaluru Hub,Bengaluru,20-ft Truck,500,471,94.2,19,61,0.31,4,2.49,2.15,203.17,32.29,407.83,643.29,1.37,0,Yes
RT-0153,2024-01-16,North India,Delhi Hub,Chandigarh,20-ft Truck,500,311,62.2,378,41,9.22,6,12.79,46.47,4391.41,615.21,1803.39,6810.01,21.9,40,No
RT-0154,2024-01-15,South India,Bengaluru Hub,Vizag,Mini Truck (14-ft),250,125,50.0,284,37,7.68,3,8.97,36.64,3462.48,493.42,1143.11,5099.01,40.79,0,Yes
RT-0155,2024-12-11,Central India,Bhopal Hub,Bhopal,20-ft Truck,500,423,84.6,27,58,0.47,3,1.67,3.26,308.07,39.09,309.7,656.86,1.55,0,Yes
RT-0156,2024-09-04,South India,Bengaluru Hub,Vizag,20-ft Truck,500,303,60.6,294,28,10.5,6,13.56,32.82,3101.49,630.99,2569.43,6301.91,20.8,13,Yes
RT-0157,2024-04-06,Central India,Bhopal Hub,Jabalpur,Mini Truck (14-ft),250,118,47.2,346,35,9.89,11,17.14,47.85,4521.82,708.57,3094.47,8324.86,70.55,0,Yes
RT-0158,2024-12-01,North India,Delhi Hub,Delhi,Mini Truck (14-ft),250,206,82.4,61,49,1.24,4,3.7,9.39,887.36,94.66,667.13,1649.15,8.01,33,No
RT-0159,2024-02-21,Central India,Bhopal Hub,Gwalior,Mini Truck (14-ft),250,113,45.2,95,42,2.26,2,3.41,12.89,1218.11,165.86,473.27,1857.24,16.44,42,No
RT-0160,2024-06-22,South India,Bengaluru Hub,Kochi,Tata Ace,120,114,95.0,162,60,2.7,7,5.45,19.31,1824.79,224.17,845.29,2894.25,25.39,0,Yes
RT-0161,2024-10-10,East India,Kolkata Hub,Ranchi,20-ft Truck,500,339,67.8,144,55,2.62,2,3.61,21.79,2059.15,310.15,435.69,2804.99,8.27,24,Yes
RT-0162,2024-03-11,South India,Bengaluru Hub,Coimbatore,Mini Truck (14-ft),250,177,70.8,202,53,3.81,8,9.63,23.2,2192.4,406.21,1704.39,4303.0,24.31,24,Yes
RT-0163,2024-02-24,South India,Bengaluru Hub,Chennai,Tempo,80,70,87.5,209,63,3.32,9,8.37,26.93,2544.88,299.09,1082.81,3926.78,56.1,24,Yes
RT-0164,2024-03-30,Central India,Bhopal Hub,Bhopal,20-ft Truck,500,432,86.4,346,63,5.49,9,10.1,46.05,4351.72,512.39,1971.48,6835.59,15.82,35,No
RT-0165,2024-06-26,East India,Kolkata Hub,Kolkata,Mini Truck (14-ft),250,148,59.2,182,44,4.14,7,6.72,20.8,1965.6,398.54,1192.04,3556.18,24.03,0,Yes
RT-0166,2024-01-01,East India,Kolkata Hub,Guwahati,Tempo,80,69,86.2,110,35,3.14,3,4.51,13.46,1271.97,150.49,644.7,2067.16,29.96,48,No
RT-0167,2024-10-11,West India,Mumbai Hub,Ahmedabad,20-ft Truck,500,363,72.6,176,40,4.4,2,5.19,24.76,2339.82,286.83,695.93,3322.58,9.15,45,No
RT-0168,2024-05-24,South India,Bengaluru Hub,Bengaluru,20-ft Truck,500,269,53.8,108,33,3.27,9,5.87,15.73,1486.49,201.69,951.71,2639.89,9.81,42,No
RT-0169,2024-04-29,Central India,Bhopal Hub,Gwalior,Tata Ace,120,107,89.2,237,51,4.65,8,7.45,42.44,4010.58,439.52,1232.42,5682.52,53.11,34,No
RT-0170,2024-06-12,East India,Kolkata Hub,Patna,Tata Ace,120,114,95.0,350,38,9.21,6,11.41,43.73,4132.48,538.63,1795.78,6466.89,56.73,31,No
RT-0171,2024-10-06,North India,Delhi Hub,Chandigarh,20-ft Truck,500,430,86.0,401,34,11.79,12,18.82,71.07,6716.11,762.77,3686.9,11165.78,25.97,0,Yes
RT-0172,2024-11-21,East India,Kolkata Hub,Siliguri,32-ft Truck,800,466,58.2,256,33,7.76,4,9.07,36.12,3413.34,280.43,1280.2,4973.97,10.67,21,Yes
RT-0173,2024-05-18,East India,Kolkata Hub,Siliguri,Mini Truck (14-ft),250,125,50.0,262,63,4.16,6,6.64,29.55,2792.47,448.97,1143.35,4384.79,35.08,21,Yes
RT-0174,2024-09-25,Central India,Bhopal Hub,Jabalpur,Tata Ace,120,65,54.2,356,59,6.03,12,12.24,65.57,6196.36,359.66,1950.29,8506.31,130.87,24,Yes
RT-0175,2024-01-12,Central India,Bhopal Hub,Raipur,Mini Truck (14-ft),250,173,69.2,332,54,6.15,2,7.14,57.32,5416.74,607.59,1177.07,7201.4,41.63,15,Yes
RT-0176,2024-11-10,North India,Delhi Hub,Jaipur,Tata Ace,120,106,88.3,326,56,5.82,12,14.71,62.06,5864.67,308.87,2288.87,8462.41,79.83,12,Yes
RT-0177,2024-10-14,Central India,Bhopal Hub,Raipur,20-ft Truck,500,474,94.8,411,47,8.74,7,11.86,68.28,6452.46,681.28,1843.26,8977.0,18.94,17,Yes
RT-0178,2024-10-05,East India,Kolkata Hub,Siliguri,20-ft Truck,500,270,54.0,376,57,6.6,12,13.09,52.37,4948.97,371.56,2317.56,7638.09,28.29,5,Yes
RT-0179,2024-01-06,Central India,Bhopal Hub,Bhopal,Tempo,80,50,62.5,371,54,6.87,10,9.84,50.9,4810.05,779.21,1453.45,7042.71,140.85,39,No
RT-0180,2024-07-02,South India,Bengaluru Hub,Vizag,32-ft Truck,800,547,68.4,53,65,0.82,8,5.36,6.79,641.65,98.29,1011.45,1751.39,3.2,36,No
RT-0181,2024-01-11,Central India,Bhopal Hub,Ujjain,Mini Truck (14-ft),250,227,90.8,356,30,11.87,8,15.06,39.76,3757.32,627.59,1976.7,6361.61,28.02,0,Yes
RT-0182,2024-02-19,West India,Mumbai Hub,Mumbai,Mini Truck (14-ft),250,132,52.8,164,53,3.09,9,8.5,30.29,2862.4,184.62,1512.32,4559.34,34.54,0,Yes
RT-0183,2024-12-30,North India,Delhi Hub,Meerut,Mini Truck (14-ft),250,203,81.2,111,50,2.22,5,3.77,12.6,1190.7,193.69,711.94,2096.33,10.33,31,No
RT-0184,2024-11-25,South India,Bengaluru Hub,Vizag,Tempo,80,46,57.5,303,36,8.42,8,12.64,37.1,3505.95,638.39,1567.67,5712.01,124.17,0,Yes
RT-0185,2024-03-28,South India,Bengaluru Hub,Kochi,Tata Ace,120,59,49.2,185,47,3.94,5,7.26,21.54,2035.53,204.77,1250.32,3490.62,59.16,10,Yes
RT-0186,2024-07-24,North India,Delhi Hub,Delhi,Tata Ace,120,56,46.7,239,28,8.54,3,9.39,36.97,3493.66,501.94,1134.88,5130.48,91.62,22,Yes
RT-0187,2024-08-28,North India,Delhi Hub,Amritsar,Mini Truck (14-ft),250,156,62.4,148,42,3.52,2,4.11,29.44,2782.08,193.97,702.93,3678.98,23.58,54,No
RT-0188,2024-12-15,West India,Mumbai Hub,Pune,20-ft Truck,500,328,65.6,364,57,6.39,4,7.52,41.77,3947.27,701.66,1315.16,5964.09,18.18,60,No
RT-0189,2024-04-18,North India,Delhi Hub,Agra,20-ft Truck,500,314,62.8,332,50,6.64,11,10.61,63.0,5953.5,509.55,1791.92,8254.97,26.29,22,Yes
RT-0190,2024-02-08,East India,Kolkata Hub,Kolkata,Mini Truck (14-ft),250,124,49.6,135,57,2.37,10,8.23,19.97,1887.16,232.78,1572.96,3692.9,29.78,33,No
RT-0191,2024-10-23,Central India,Bhopal Hub,Indore,20-ft Truck,500,456,91.2,419,64,6.55,3,7.73,68.43,6466.64,346.81,1320.38,8133.83,17.84,0,Yes
RT-0192,2024-05-15,South India,Bengaluru Hub,Vizag,Mini Truck (14-ft),250,224,89.6,135,47,2.87,2,3.95,23.57,2227.37,250.48,490.34,2968.19,13.25,5,Yes
RT-0193,2024-01-22,West India,Mumbai Hub,Vadodara,Mini Truck (14-ft),250,152,60.8,210,32,6.56,9,9.41,28.81,2722.55,192.71,1375.79,4291.05,28.23,22,Yes
RT-0194,2024-01-01,West India,Mumbai Hub,Vadodara,32-ft Truck,800,484,60.5,338,51,6.63,10,12.09,37.66,3558.87,476.98,1971.31,6007.16,12.41,0,Yes
RT-0195,2024-12-21,North India,Delhi Hub,Amritsar,Tempo,80,53,66.2,416,63,6.6,3,8.82,55.16,5212.62,432.81,1715.8,7361.23,138.89,0,Yes
RT-0196,2024-12-10,Central India,Bhopal Hub,Bhopal,Tata Ace,120,96,80.0,66,61,1.08,3,2.6,7.33,692.69,91.38,435.24,1219.31,12.7,10,Yes
RT-0197,2024-07-24,East India,Kolkata Hub,Ranchi,Mini Truck (14-ft),250,117,46.8,191,61,3.13,12,8.82,22.79,2153.65,347.24,1645.27,4146.16,35.44,9,Yes
RT-0198,2024-02-01,North India,Delhi Hub,Meerut,Tempo,80,49,61.3,79,64,1.23,7,3.2,15.42,1457.19,122.96,482.84,2062.99,42.1,20,Yes
RT-0199,2024-07-26,Central India,Bhopal Hub,Gwalior,Tempo,80,46,57.5,19,51,0.37,6,4.06,2.16,204.12,28.42,791.08,1023.62,22.25,8,Yes
RT-0200,2024-11-27,East India,Kolkata Hub,Siliguri,20-ft Truck,500,265,53.0,180,48,3.75,4,4.99,21.94,2073.33,384.69,884.24,3342.26,12.61,13,Yes
RT-0201,2024-06-12,Central India,Bhopal Hub,Raipur,20-ft Truck,500,321,64.2,150,63,2.38,8,5.06,17.96,1697.22,287.44,993.35,2978.01,9.28,0,Yes
RT-0202,2024-09-30,Central India,Bhopal Hub,Gwalior,20-ft Truck,500,393,78.6,284,28,10.14,9,16.61,41.59,3930.26,271.77,3302.47,7504.5,19.1,0,Yes
RT-0203,2024-03-21,North India,Delhi Hub,Delhi,Mini Truck (14-ft),250,171,68.4,366,53,6.91,6,8.53,50.15,4739.18,355.4,1196.38,6290.96,36.79,47,No
RT-0204,2024-09-24,East India,Kolkata Hub,Bhubaneswar,Tata Ace,120,103,85.8,208,62,3.35,6,6.74,33.35,3151.58,238.42,1240.87,4630.87,44.96,0,Yes
RT-0205,2024-06-28,East India,Kolkata Hub,Patna,32-ft Truck,800,588,73.5,269,53,5.08,8,9.85,35.41,3346.24,540.89,1233.86,5120.99,8.71,10,Yes
RT-0206,2024-12-04,North India,Delhi Hub,Meerut,20-ft Truck,500,436,87.2,177,48,3.69,8,9.23,22.28,2105.46,286.06,1309.69,3701.21,8.49,0,Yes
RT-0207,2024-09-07,East India,Kolkata Hub,Kolkata,32-ft Truck,800,487,60.9,128,31,4.13,11,9.07,14.83,1401.43,189.83,1361.82,2953.08,6.06,9,Yes
RT-0208,2024-10-02,West India,Mumbai Hub,Pune,32-ft Truck,800,360,45.0,329,54,6.09,4,7.45,46.79,4421.65,685.71,1014.27,6121.63,17.0,24,Yes
RT-0209,2024-12-20,Central India,Bhopal Hub,Gwalior,20-ft Truck,500,382,76.4,231,64,3.61,2,4.98,26.76,2528.82,401.43,823.8,3754.05,9.83,26,Yes
RT-0210,2024-12-15,West India,Mumbai Hub,Vadodara,Tata Ace,120,80,66.7,322,43,7.49,7,10.72,60.0,5670.0,691.88,1349.74,7711.62,96.4,3,Yes
RT-0211,2024-10-06,North India,Delhi Hub,Meerut,Tempo,80,45,56.2,321,52,6.17,6,10.52,36.57,3455.87,649.65,1353.3,5458.82,121.31,46,No
RT-0212,2024-11-09,North India,Delhi Hub,Lucknow,Mini Truck (14-ft),250,153,61.2,417,54,7.72,8,12.19,47.92,4528.44,663.25,1996.8,7188.49,46.98,38,No
RT-0213,2024-04-16,North India,Delhi Hub,Lucknow,Mini Truck (14-ft),250,244,97.6,321,61,5.26,9,8.58,52.14,4927.23,556.68,1042.39,6526.3,26.75,0,Yes
RT-0214,2024-12-20,East India,Kolkata Hub,Siliguri,Tempo,80,60,75.0,301,39,7.72,9,12.6,50.51,4773.19,380.91,2185.78,7339.88,122.33,17,Yes
RT-0215,2024-03-03,Central India,Bhopal Hub,Gwalior,20-ft Truck,500,313,62.6,76,38,2.0,3,2.91,8.61,813.64,97.18,440.56,1351.38,4.32,40,No
RT-0216,2024-05-19,North India,Delhi Hub,Amritsar,Mini Truck (14-ft),250,250,100.0,407,46,8.85,7,12.82,73.42,6938.19,488.71,2504.53,9931.43,39.73,52,No
RT-0217,2024-08-27,West India,Mumbai Hub,Mumbai,20-ft Truck,500,354,70.8,19,60,0.32,12,8.3,3.38,319.41,33.82,1540.18,1893.41,5.35,15,Yes
RT-0218,2024-01-20,North India,Delhi Hub,Chandigarh,Mini Truck (14-ft),250,187,74.8,89,56,1.59,7,3.41,10.65,1006.43,119.08,455.68,1581.19,8.46,12,Yes
RT-0219,2024-09-16,Central India,Bhopal Hub,Bhopal,Tempo,80,54,67.5,387,49,7.9,5,9.36,45.78,4326.21,377.12,1222.27,5925.6,109.73,0,Yes
RT-0220,2024-10-27,Central India,Bhopal Hub,Raipur,Tata Ace,120,75,62.5,367,65,5.65,9,9.82,67.67,6394.82,563.34,1645.18,8603.34,114.71,0,Yes
RT-0221,2024-07-06,South India,Bengaluru Hub,Mysuru,Mini Truck (14-ft),250,210,84.0,306,46,6.65,7,9.77,36.82,3479.49,553.57,1780.01,5813.07,27.68,45,No
RT-0222,2024-07-29,East India,Kolkata Hub,Ranchi,32-ft Truck,800,389,48.6,229,60,3.82,4,6.0,36.61,3459.64,192.99,735.14,4387.77,11.28,25,Yes
RT-0223,2024-09-26,Central India,Bhopal Hub,Bilaspur,Tata Ace,120,55,45.8,197,60,3.28,7,6.47,25.7,2428.65,332.73,1243.84,4005.22,72.82,48,No
RT-0224,2024-03-13,East India,Kolkata Hub,Patna,20-ft Truck,500,302,60.4,346,56,6.18,3,7.07,66.5,6284.25,664.31,1096.46,8045.02,26.64,0,Yes
RT-0225,2024-07-05,East India,Kolkata Hub,Siliguri,Mini Truck (14-ft),250,207,82.8,366,31,11.81,3,12.9,61.29,5791.9,308.97,2548.45,8649.32,41.78,28,Yes
RT-0226,2024-09-29,West India,Mumbai Hub,Ahmedabad,20-ft Truck,500,334,66.8,174,64,2.72,8,7.71,27.27,2577.01,342.06,1514.68,4433.75,13.27,0,Yes
RT-0227,2024-12-26,West India,Mumbai Hub,Pune,Mini Truck (14-ft),250,136,54.4,97,57,1.7,8,7.6,18.61,1758.64,196.34,1389.61,3344.59,24.59,3,Yes
RT-0228,2024-12-24,Central India,Bhopal Hub,Jabalpur,Mini Truck (14-ft),250,167,66.8,225,30,7.5,2,8.12,29.83,2818.93,316.31,1311.19,4446.43,26.63,39,No
RT-0229,2024-09-26,West India,Mumbai Hub,Surat,Tata Ace,120,86,71.7,264,29,9.1,8,14.8,31.45,2972.03,376.25,2815.53,6163.81,71.67,0,Yes
RT-0230,2024-10-18,East India,Kolkata Hub,Ranchi,32-ft Truck,800,754,94.2,182,64,2.84,5,4.23,27.8,2627.1,200.25,821.11,3648.46,4.84,15,Yes
RT-0231,2024-08-04,East India,Kolkata Hub,Jamshedpur,32-ft Truck,800,792,99.0,167,43,3.88,3,4.8,24.5,2315.25,303.93,803.62,3422.8,4.32,38,No
RT-0232,2024-06-06,Central India,Bhopal Hub,Ujjain,Tempo,80,43,53.8,47,43,1.09,2,2.26,7.52,710.64,71.08,314.46,1096.18,25.49,37,No
RT-0233,2024-10-14,North India,Delhi Hub,Jaipur,Mini Truck (14-ft),250,131,52.4,70,64,1.09,2,1.87,8.4,793.8,81.64,312.28,1187.72,9.07,0,Yes
RT-0234,2024-05-27,Central India,Bhopal Hub,Bilaspur,Tempo,80,56,70.0,180,54,3.33,2,4.19,21.69,2049.7,262.58,638.66,2950.94,52.7,6,Yes
RT-0235,2024-04-03,Central India,Bhopal Hub,Bilaspur,20-ft Truck,500,304,60.8,334,64,5.22,6,8.32,54.56,5155.92,500.78,1040.13,6696.83,22.03,0,Yes
RT-0236,2024-12-01,South India,Bengaluru Hub,Kochi,Mini Truck (14-ft),250,204,81.6,302,35,8.63,4,10.66,39.32,3715.74,353.09,1886.44,5955.27,29.19,23,Yes
RT-0237,2024-04-12,Central India,Bhopal Hub,Bilaspur,Mini Truck (14-ft),250,206,82.4,333,31,10.74,10,16.79,42.26,3993.57,711.8,3319.15,8024.52,38.95,0,Yes
RT-0238,2024-04-20,Central India,Bhopal Hub,Indore,32-ft Truck,800,388,48.5,320,44,7.27,5,9.76,41.7,3940.65,579.18,1577.29,6097.12,15.71,27,Yes
RT-0239,2024-03-10,West India,Mumbai Hub,Nashik,Tata Ace,120,68,56.7,312,63,4.95,5,7.06,55.85,5277.82,591.77,975.85,6845.44,100.67,51,No
RT-0240,2024-07-23,East India,Kolkata Hub,Siliguri,Tempo,80,54,67.5,105,57,1.84,10,5.71,16.12,1523.34,132.38,957.59,2613.31,48.39,4,Yes
RT-0241,2024-02-24,West India,Mumbai Hub,Ahmedabad,32-ft Truck,800,374,46.8,111,33,3.36,8,5.57,15.44,1459.08,169.32,994.67,2623.07,7.01,26,Yes
RT-0242,2024-06-07,East India,Kolkata Hub,Kolkata,20-ft Truck,500,313,62.6,146,44,3.32,11,9.25,17.05,1611.23,213.16,1679.67,3504.06,11.2,0,Yes
RT-0243,2024-02-12,Central India,Bhopal Hub,Bilaspur,Mini Truck (14-ft),250,192,76.8,191,65,2.94,7,6.4,32.42,3063.69,236.42,984.85,4284.96,22.32,0,Yes
RT-0244,2024-10-23,East India,Kolkata Hub,Guwahati,20-ft Truck,500,242,48.4,258,50,5.16,11,10.35,38.53,3641.09,314.07,1640.26,5595.42,23.12,0,Yes
RT-0245,2024-07-15,South India,Bengaluru Hub,Chennai,Tata Ace,120,55,45.8,278,55,5.05,7,10.16,39.22,3706.29,590.19,1331.51,5627.99,102.33,29,Yes
RT-0246,2024-06-27,South India,Bengaluru Hub,Chennai,Mini Truck (14-ft),250,154,61.6,388,29,13.38,10,20.58,56.06,5297.67,683.74,2654.36,8635.77,56.08,20,Yes
RT-0247,2024-03-01,West India,Mumbai Hub,Nagpur,Mini Truck (14-ft),250,244,97.6,418,56,7.46,8,10.59,48.6,4592.7,896.26,1807.33,7296.29,29.9,42,No
RT-0248,2024-07-13,West India,Mumbai Hub,Nashik,32-ft Truck,800,417,52.1,212,44,4.82,10,10.27,28.36,2680.02,225.12,1243.88,4149.02,9.95,0,Yes
RT-0249,2024-01-02,East India,Kolkata Hub,Kolkata,20-ft Truck,500,354,70.8,201,42,4.79,4,7.27,23.28,2199.96,374.89,1005.12,3579.97,10.11,0,Yes
RT-0250,2024-05-13,West India,Mumbai Hub,Ahmedabad,Tata Ace,120,69,57.5,285,40,7.12,5,10.36,37.7,3562.65,344.57,1790.16,5697.38,82.57,2,Yes
RT-0251,2024-05-16,South India,Bengaluru Hub,Vizag,20-ft Truck,500,400,80.0,91,28,3.25,4,5.47,12.67,1197.32,115.07,1002.47,2314.86,5.79,9,Yes
RT-0252,2024-12-04,North India,Delhi Hub,Amritsar,Tata Ace,120,73,60.8,215,52,4.13,10,11.61,24.35,2301.08,185.24,2073.3,4559.62,62.46,0,Yes
RT-0253,2024-08-03,Central India,Bhopal Hub,Gwalior,Tempo,80,70,87.5,400,37,10.81,5,13.26,46.41,4385.74,320.62,1972.78,6679.14,95.42,5,Yes
RT-0254,2024-09-16,West India,Mumbai Hub,Vadodara,20-ft Truck,500,349,69.8,121,31,3.9,12,8.59,14.69,1388.2,106.94,1690.1,3185.24,9.13,25,Yes
RT-0255,2024-08-24,South India,Bengaluru Hub,Kochi,Mini Truck (14-ft),250,204,81.6,174,46,3.78,5,7.23,26.82,2534.49,356.74,1355.91,4247.14,20.82,40,No
RT-0256,2024-08-02,West India,Mumbai Hub,Surat,Mini Truck (14-ft),250,150,60.0,360,56,6.43,12,13.97,40.6,3836.7,361.87,2040.01,6238.58,41.59,0,Yes
RT-0257,2024-11-26,South India,Bengaluru Hub,Bengaluru,Mini Truck (14-ft),250,168,67.2,315,62,5.08,8,8.14,54.88,5186.16,281.81,1353.3,6821.27,40.6,0,Yes
RT-0258,2024-05-14,South India,Bengaluru Hub,Hyderabad,32-ft Truck,800,634,79.2,220,58,3.79,4,5.07,28.36,2680.02,355.04,743.39,3778.45,5.96,0,Yes
RT-0259,2024-10-10,South India,Bengaluru Hub,Bengaluru,Mini Truck (14-ft),250,150,60.0,336,61,5.51,9,8.91,41.08,3882.06,647.84,1287.92,5817.82,38.79,23,Yes
RT-0260,2024-06-02,West India,Mumbai Hub,Vadodara,Tata Ace,120,57,47.5,63,54,1.17,7,3.01,10.03,947.83,114.27,589.57,1651.67,28.98,5,Yes
RT-0261,2024-08-17,South India,Bengaluru Hub,Chennai,Mini Truck (14-ft),250,233,93.2,101,59,1.71,3,2.89,11.75,1110.38,131.32,462.16,1703.86,7.31,20,Yes
RT-0262,2024-03-02,Central India,Bhopal Hub,Bhopal,32-ft Truck,800,737,92.1,67,47,1.43,8,3.66,11.38,1075.41,58.61,462.83,1596.85,2.17,16,Yes
RT-0263,2024-06-08,North India,Delhi Hub,Delhi,32-ft Truck,800,731,91.4,52,40,1.3,8,6.56,8.05,760.73,90.3,971.65,1822.68,2.49,27,Yes
RT-0264,2024-02-11,Central India,Bhopal Hub,Gwalior,20-ft Truck,500,431,86.2,411,58,7.09,2,7.6,48.69,4601.2,445.03,1025.73,6071.96,14.09,19,Yes
RT-0265,2024-01-21,East India,Kolkata Hub,Ranchi,20-ft Truck,500,430,86.0,291,42,6.93,9,10.44,42.31,3998.3,250.87,1582.07,5831.24,13.56,22,Yes
RT-0266,2024-10-03,East India,Kolkata Hub,Guwahati,Mini Truck (14-ft),250,127,50.8,338,56,6.04,4,7.66,51.17,4835.57,631.14,1269.45,6736.16,53.04,0,Yes
RT-0267,2024-04-18,North India,Delhi Hub,Agra,Mini Truck (14-ft),250,177,70.8,202,59,3.42,2,3.99,27.44,2593.08,399.7,751.65,3744.43,21.15,0,Yes
RT-0268,2024-11-20,West India,Mumbai Hub,Vadodara,Tata Ace,120,64,53.3,98,56,1.75,4,4.09,13.14,1241.73,119.56,530.88,1892.17,29.57,0,Yes
RT-0269,2024-04-30,Central India,Bhopal Hub,Indore,Tempo,80,78,97.5,215,62,3.47,9,9.17,36.06,3407.67,174.24,1294.3,4876.21,62.52,37,No
RT-0270,2024-03-20,South India,Bengaluru Hub,Hyderabad,20-ft Truck,500,398,79.6,203,65,3.12,6,6.0,28.43,2686.63,190.8,849.92,3727.35,9.37,0,Yes
RT-0271,2024-03-05,Central India,Bhopal Hub,Bhopal,Tempo,80,56,70.0,25,53,0.47,10,7.85,2.93,276.88,33.82,1115.04,1425.74,25.46,14,Yes
RT-0272,2024-12-14,South India,Bengaluru Hub,Kochi,Tempo,80,74,92.5,130,52,2.5,3,3.5,15.14,1430.73,105.57,654.89,2191.19,29.61,15,Yes
RT-0273,2024-09-23,East India,Kolkata Hub,Bhubaneswar,20-ft Truck,500,482,96.4,340,57,5.96,4,7.67,47.75,4512.38,384.57,1350.83,6247.78,12.96,38,No
RT-0274,2024-12-06,East India,Kolkata Hub,Siliguri,Tata Ace,120,100,83.3,294,41,7.17,5,9.13,51.54,4870.53,265.21,1277.02,6412.76,64.13,0,Yes
RT-0275,2024-11-12,East India,Kolkata Hub,Patna,Mini Truck (14-ft),250,188,75.2,214,59,3.63,4,5.42,27.62,2610.09,291.61,996.13,3897.83,20.73,0,Yes
RT-0276,2024-02-26,West India,Mumbai Hub,Nashik,Mini Truck (14-ft),250,120,48.0,234,36,6.5,5,8.45,41.5,3921.75,429.44,1454.28,5805.47,48.38,25,Yes
RT-0277,2024-05-31,East India,Kolkata Hub,Jamshedpur,20-ft Truck,500,476,95.2,330,36,9.17,9,14.36,48.76,4607.82,329.38,2860.18,7797.38,16.38,29,Yes
RT-0278,2024-05-08,South India,Bengaluru Hub,Mysuru,20-ft Truck,500,470,94.0,299,59,5.07,10,10.83,34.54,3264.03,502.58,1613.04,5379.65,11.45,0,Yes
RT-0279,2024-01-22,West India,Mumbai Hub,Nagpur,32-ft Truck,800,627,78.4,225,39,5.77,6,8.3,25.86,2443.77,218.88,1190.28,3852.93,6.15,0,Yes
RT-0280,2024-03-21,West India,Mumbai Hub,Pune,32-ft Truck,800,705,88.1,115,28,4.11,9,10.18,12.93,1221.88,244.85,2001.85,3468.58,4.92,26,Yes
RT-0281,2024-06-03,South India,Bengaluru Hub,Coimbatore,Tempo,80,39,48.8,361,50,7.22,2,7.93,57.5,5433.75,323.03,1173.35,6930.13,177.7,24,Yes
RT-0282,2024-12-02,East India,Kolkata Hub,Patna,Tempo,80,59,73.8,297,47,6.32,3,8.41,55.14,5210.73,576.94,1528.07,7315.74,124.0,0,Yes
RT-0283,2024-05-17,East India,Kolkata Hub,Siliguri,Mini Truck (14-ft),250,208,83.2,244,37,6.59,9,9.7,28.21,2665.85,504.05,1561.28,4731.18,22.75,1,Yes
RT-0284,2024-06-06,West India,Mumbai Hub,Ahmedabad,Mini Truck (14-ft),250,193,77.2,351,43,8.16,4,10.84,59.02,5577.39,749.97,1701.86,8029.22,41.6,41,No
RT-0285,2024-08-19,South India,Bengaluru Hub,Chennai,Tata Ace,120,90,75.0,222,45,4.93,4,5.94,34.19,3230.95,208.93,842.64,4282.52,47.58,21,Yes
RT-0286,2024-07-01,North India,Delhi Hub,Amritsar,32-ft Truck,800,360,45.0,399,31,12.87,4,14.33,75.41,7126.24,531.61,2556.98,10214.83,28.37,43,No
RT-0287,2024-10-13,Central India,Bhopal Hub,Jabalpur,Mini Truck (14-ft),250,134,53.6,112,40,2.8,8,8.5,21.93,2072.38,96.92,1149.69,3318.99,24.77,0,Yes
RT-0288,2024-04-21,Central India,Bhopal Hub,Bhopal,Mini Truck (14-ft),250,223,89.2,316,38,8.32,9,13.61,35.71,3374.6,546.65,2111.74,6032.99,27.05,17,Yes
RT-0289,2024-05-18,East India,Kolkata Hub,Bhubaneswar,20-ft Truck,500,380,76.0,144,49,2.94,5,5.48,17.46,1649.97,192.06,1039.97,2882.0,7.58,6,Yes
RT-0290,2024-04-13,Central India,Bhopal Hub,Bhopal,20-ft Truck,500,337,67.4,192,59,3.25,5,6.06,26.97,2548.66,338.87,1196.99,4084.52,12.12,2,Yes
